"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
4.637537580E-1,7.900525630E-2,1.244931296E-1,9.856505394E0,9.857608176E0
4.661506330E-1,7.900525630E-2,1.244931296E-1,9.856505394E0,9.857608176E0
4.685474040E-1,7.900525630E-2,1.244931296E-1,9.868474960E0,9.869576405E0
4.709445390E-1,7.900525630E-2,1.220990419E-1,9.878050804E0,9.879121302E0
4.733409450E-1,8.379345387E-2,1.220990419E-1,9.880446434E0,9.881556115E0
4.757370390E-1,8.379345387E-2,1.244931296E-1,9.866081238E0,9.867222450E0
4.781338100E-1,8.139935881E-2,1.197049394E-1,9.866081238E0,9.867143159E0
4.805307370E-1,8.618755639E-2,1.220990419E-1,9.868474960E0,9.869606604E0
4.829279760E-1,9.097574651E-2,1.220990419E-1,9.870868683E0,9.872043016E0
4.853246950E-1,8.139935881E-2,1.197049394E-1,9.875657082E0,9.876717973E0
4.877208930E-1,8.379345387E-2,1.197049394E-1,9.875657082E0,9.876737994E0
4.901179240E-1,9.336984903E-2,1.173108369E-1,9.875657082E0,9.876795156E0
4.925145910E-1,8.139935881E-2,1.220990419E-1,9.854109764E0,9.855202346E0
4.949111540E-1,8.139935881E-2,1.197049394E-1,9.861292839E0,9.862355276E0
4.973076640E-1,8.858165890E-2,1.268872321E-1,9.866081238E0,9.867294770E0
4.997041220E-1,9.336984903E-2,1.340695322E-1,9.861292839E0,9.862646147E0
5.021013620E-1,8.618755639E-2,1.292813420E-1,9.861292839E0,9.862516840E0
5.044986010E-1,8.618755639E-2,1.173108369E-1,9.861292839E0,9.862367190E0
5.068954760E-1,9.336984903E-2,1.077344418E-1,9.870868683E0,9.871898156E0
5.092927160E-1,8.858165890E-2,1.077344418E-1,9.858899117E0,9.859885659E0
5.116896950E-1,7.900525630E-2,1.244931296E-1,9.866081238E0,9.867182950E0
5.140865180E-1,8.618755639E-2,1.316754371E-1,9.870868683E0,9.872123139E0
5.164836540E-1,8.139935881E-2,1.244931296E-1,9.856505394E0,9.857627655E0
